start	end	text
7777	9119	Hey, look at that.
15367	17831	Well, I guess we're finally getting some new neighbors.
23118	30668	I tell you, if that boy handles the football half as good as he handles the cardboard box, Arlen High's got herself a new tight end.
31589	33432	Hey, you think the dad's a good bowler?
33892	35354	Yeah, he looks like a good bowler.
35554	37497	Maybe he needs someone to bowl with.
38067	40634	Notice how he lifts with his legs.
41155	43321	I think they're gonna fit in just fine.
43963	44625	Howdy fellas.
45126	46350	What brings you to Ireland?
46370	49478	Well, uh, this family hired us to move their stuff.
92742	93803	Well, I'll be damned.
94244	95745	They look Japanese.
95886	96126	Nope.
96586	97888	I think they're Chinese.
98328	99089	How can you tell?
99430	104255	Japanese guys usually have glasses and a suit and a tie and stuff like that.
104696	105396	Uh-huh.
105416	107078	Well, a neighbor's a neighbor.
107539	108900	Let's go over and say hi.
109381	111403	You reckon they even speak English?
111704	113005	Yeah, man, them Chinese, man.
113025	114687	You can't understand a word they say, man.
114707	117450	They just try to listen to the whole upside down whatnot.
119017	120880	Hi there, I'm Hank Hill.
121280	124645	I live next door, which means I'm your neighbor and you're my friend.
125607	128812	I think you'll find we have a great little community here.
129413	130795	What do you think of it so far?
131436	133278	I am Khan, Super Newsome Bone.
133979	137485	Hmm, so that's pronounced... Khan, right?
138146	138827	Nice to meet you.
141951	144315	What the hell are you trying to do?
146557	148900	So are you Chinese or Japanese?
149381	152686	I lived in California last 20 years, but first come from Laos.
153306	153967	Huh?
153987	154468	Laos.
155169	155790	We lay ocean.
156050	156871	The ocean?
157212	157973	What ocean?
158113	159054	We all lay ocean!
159315	160556	From Laos, stupid!
160937	162880	It's a landlocked country in Southeast Asia.
163180	164882	It's between Vietnam and Thailand, okay?
165303	167025	Population, 4.7 million.
169148	172513	So are you Chinese or Japanese?
173675	174957	That is so very exciting.
175458	181547	It's like we get to travel to the Orient without having to worry about diarrhea or being jailed for our pro-democracy beliefs.
181587	191183	You know, at the beauty academy, they teach us that people aren't black or white or yellow or red, but their hair can be.
191523	193727	I'm going to invite our new neighbors to dinner.
194307	196611	We can't expect them to break the eyes.
196760	199527	These people are by nature shy and reserved.
199547	205061	I read somewhere that the Chinese language has 72 words for us, but no word for friend.
206525	208069	Howdy, you all.
208673	209534	Howdy, howdy, howdy.
210155	210275	Yeah.
210675	211657	Can you believe this crap?
212217	214320	You want to live in this country, learn to speak English.
214640	215321	I'm not going.
215601	216623	But you promise.
216983	217484	Why go?
217524	220808	I could just stay home, order a bucket of chicken and watch Hee-Haw.
220988	221649	Same thing.
221909	225033	Khan, please, for once, try not to piss off neighbor.
225333	226555	We kick out of Laos.
226795	228217	We kick out of Anaheim.
228437	229599	I'm tired of running.
233263	234124	Hello, Khan.
235302	236684	Oh, damn.
236924	237364	Damn.
237845	240068	Oh, you have damn fine house.
240448	242070	Lead-free since 1988.
242310	245614	This is my wife, Meen, and daughter, Con Junior.
246035	248037	And this is Peggy Hill.
248758	253003	On behalf of Arlen, Texas, I would like to welcome you to our country.
253724	256687	Now, please make yourselves at home and take off your shoes.
257228	257468	Wait.
257969	261333	You just shampoo carpet?
261353	262254	Come on, Bobby.
262294	263215	Have some seconds.
263255	264837	The girl's lapping you.
265019	267082	I've never had beef chop suey before.
267422	267863	Really?
268424	269365	Oh, you poor dear.
270306	275554	You know, I read somewhere that in certain parts of China, meat is as scarce as toilet paper.
275894	277216	Well, where you read that?
277617	278498	Oh, who can remember?
278778	282383	You know, as a substitute teacher, I have to review all sorts of learning materials.
283024	284246	My beat was on a placement.
284566	285608	So you're a teacher?
286709	289373	Maybe you can tell me why art and test scores are so low.
290434	291155	I know why.
291195	294520	It's because Khan Junior not there to bring up average.
294989	300555	You know, my boy here might not be the best test taker, but he's got near perfect attendance.
300735	301416	Tell him, Bobby.
302798	305841	I hope you all save some room for my famous apple brown Betty.
305881	308864	The recipe is a closely guarded family secret.
309325	312188	Passed on from my mother's mother to my mother to me.
312748	314891	And someday, I will give it to my Bobby.
316733	318735	Well, at least the brown Betty was good.
318867	320229	You must give me recipe.
320810	322813	Oh, man, you know I can't do that.
323313	325536	But what I can do is offer you some leftovers.
325977	327960	Here, now just reheat this for 10 minutes.
327980	330584	I have already said way too much.
331305	333307	Well, y'all come back now, you hear?
333348	335771	That's Texan for Sayonara.
336632	338174	Oh my, Peggy here.
338495	341659	What big feet you have, like boat.
341679	343542	Well, that's just the way God made me.
347268	348973	Hey, look at me!
348993	350879	I'm like little girl in mama's shoes!
352123	355253	Okay, bye-bye now, bye-bye!
355313	357700	Now, honey, she didn't mean anything, bud.
357781	361206	You do not come into a woman's home and insult her fate.
361246	362247	You just don't.
362268	363369	Oh, come on, Peg.
363730	366153	Remember when you first moved here from Montana?
367095	369658	He called Pops so depop.
