start	end	text
12907	16134	Hey, my dad's invitation to the party got returned.
16595	19923	Grandpa Cotton Hill Hell USA?
20564	22248	Bobby, why'd you write this?
22308	24172	You know your grandpa lives in Houston?
24553	26036	Mom says he's the devil.
26297	28722	Peggy, how can you tell Bobby that?
28702	30444	I said evil Hank.
30465	32247	How you get devil from that is beyond me.
32808	34610	I don't want grandpa at my party.
34871	38496	The kids are already gonna hate me because you got the wrong kind of bean dip.
38516	39678	What's wrong with the bean dip?
40299	40939	Wait a minute.
40959	42402	What's wrong with your grandpa?
42522	44244	He's got big plastic teeth.
44525	45906	He screams all the time.
46187	47689	His legs don't work.
47669	50754	Bobby, never make funny your grandpa's legs.
51255	55421	He lost his shins defending Texas in World War II.
56022	60549	Now, son, pick up that phone and invite your granddad to your birthday party.
61130	61872	Okay.
65197	67280	Hi, Grandpa.
67300	72208	Bobby, if you're gonna fake dial, you gotta hit more than three numbers.
102935	105400	Woo!
105420	111892	This thing is a hoof!
111912	114056	Uh, I got a splinter here.
114417	117082	Orange, you glad I didn't say banana?
118204	119106	Huh?
119126	120008	Huh?
120028	121591	This party's boring.
122192	123795	Everybody hates you.
124417	126220	Why are you so pissed off for Piggy Hill?
126641	127262	Oh, nothing.
127282	128103	Just Hank's father.
128264	129586	He's driving in for the party.
129887	131570	Oh, Lord, that crazy Cotton Hill.
131850	135857	I heard after Hank's mother left Cotton, he married his 16-year-old nurse.
136077	137841	Dee Dee is 39, thank you very much.
138622	140185	Although parts of her are much younger.
140225	142088	Ooh, Piggy Hill.
144920	146863	Dad, I'm dying out there.
147224	149227	I blew up a balloon with my nose.
149568	149988	Nothing.
150509	151711	I did this thing.
152492	154055	What are you talking about?
154456	155998	What are you talking about?
156539	157080	Nothing.
157521	159604	Did you try burping the alphabet?
159985	162068	That's my clothes, Dad.
162419	164402	Hey, man, what are you talking about?
164422	165885	What are you talking about, man?
165905	168008	I tell you what, Fat Kid's always funny one, man.
168028	172015	There's a thing called John Candy, John Belushi, Knife and Pork, dug their grave, man.
172035	173036	Who wants a burger?
173657	174839	Well, I'll take that steak.
175120	176141	The hell you say?
176182	177844	Did you win World War II?
178405	180068	This ribeye is for my daddy.
180288	181390	Cotton's coming.
182315	186261	Whoa-ho, if I was you, Con, I'd am-scray before he gets here.
