start	end	text
1364	18489	Why do you say we tee off together, Hank?
18509	22455	Sure thing, Willie.
28063	29546	Dead solid perfect!
29666	30527	Ha ha!
38810	42682	You know, Hank, I've always wanted to sell propane and propane accessories like you do.
43284	45129	I guess this dang music thing came up.
46293	48078	Well, there ain't no change in the past, I guess.
48159	48921	Let's jam.
63869	69846	What in the name of dad?
72353	72914	Bobby!
74198	74318	Uh-oh.
104808	106651	Son, have you lost your mind?
106691	108493	Aren't you supposed to knock first?
108613	109715	I could have been naked.
109895	111798	Bobby, how many times have I told you?
112218	114041	Betsy is not a toy.
114401	120750	She's a 1963 Guild Solid Top... What's that smell?
121150	122873	You been playing this with your feet?
123153	124555	That's cheese, Dad.
125648	128776	Why would there ever be cheese on Betsy?
129257	130039	It's funny.
130360	131442	It's a comedy routine.
131783	135673	You know, you play the guitar with a piece of cheese and you go, hey, look at me.
135953	137658	I'm Eddie Cheddar.
139502	141126	You know it's from Celeryhead.
141308	143211	What is a celery head?
143491	145334	He's the world's best comedian.
145354	146415	He glues things.
146876	153946	Like he glues a clean Xbox to a tennis shoe and goes, this is in case you have a runny nose.
153966	155448	That's not a joke, son.
155728	157331	That's a waste of good glue.
157851	160415	Well, he makes $3 million a year.
160755	162077	You must have got that wrong.
162558	165262	People don't pay money to see things like that.
165883	168987	Now, Robert Klein, that's something you pay money for.
170097	171339	What is going on in there?
171399	173562	Thank you, I'm worried about our boy.
173842	177748	Some green-haired freak told him to rub cheese on my guitar.
178489	179851	Oh, you mean celery head.
180312	181994	I saw him on entertainment tonight.
182715	184518	He makes three million dollars a year.
186902	189666	Luan, good lord, put on some pants.
189986	190948	I'm wearing shorts.
192209	194012	Don't scare me like that.
196186	198729	Look at this, Peggy, the boy chipped Betsy's bridge.
199409	202633	And he woke me up from my Willie Nelson golfing dream number three.
203033	205756	I, calm down, it is just a bunch of wood and some wires.
206056	206877	Wood and wires?
207638	209540	I've had Betsy since high school.
210020	211081	I took her to the prom.
211762	213123	I love this guitar.
213584	214925	Do you understand what I'm saying?
214945	217288	Do you understand what love means?
217308	219270	Yes, I love my family.
219530	220491	Yeah, now you're getting it.
220831	223594	That's the kind of love I have for Betsy.
223810	226132	I'm going back to sleep, you coming?
226753	227333	I'm already up.
227974	230476	Besides, I wouldn't want to make Betsy jealous.
231217	234020	Luanne, would you please not sit like that?
234040	240946	I sell propane and propane accessories, I tell you what.
241386	242587	Shut up, Dale!
248173	249033	Oh, Willie, no!
249254	250695	That's a one-way street!
251890	254593	Right, Bobby.
254613	255133	What happened to my truck?
255153	255514	Your mower hit it.
255534	259538	Well, maybe I ought to send my mower to one of those children psychologists.
262321	263943	Are you mad about something, Aunt Peggy?
264403	264763	Mad.
265184	266065	Why would I be mad?
266085	269609	Just because Hank pays more attention to that silly guitar than he does to me.
272512	273993	Lay off the gas, Aunt Peggy.
274033	276476	If I break another nail, I'll fail my manicure final.
276816	278598	Are you having trouble at the beauty academy, Louie?
279259	279619	No.
280730	283153	I'm also failing braid work.
283173	285936	Braid work does not come natural to the women in our family, honey.
286617	289861	You know it, I know it, and the whole town knows it.
289881	291884	Sounds like your whore's going off.
292284	294026	You really think so, Bill?
295228	295448	Oh, yeah.
296249	297070	Damn it, Hank.
297110	300895	You know I can't have loud, sudden noises while I'm meditating.
301355	304499	I was a nose hair away from attaining inner peace.
