start	end	text
28837	29358	Yep.
31581	32062	Yep.
34586	34906	Yep.
37110	39573	Mm-hmm.
39593	40775	You know what it could be.
41576	43079	That damn starter motor.
43900	45242	You're getting good compression.
45943	46323	Yeah.
48106	49428	I know what's wrong with it.
49989	50830	It's a Ford.
50870	53955	You know what they say Ford stands for, don't you?
54356	56599	It stands for fix it again, Tony.
57659	59703	You're thinking of a fiat, Dale.
60685	63251	Fix it again.
66919	75617	I'll tell you what you do, you just take them dang old spark plugs out, and then that little hole, you just put a little hole around there, just like Bobby Hunter says, I could go boom, boom, just like that.
77352	79975	Well, I wish it were that simple, Boomhauer.
80415	82598	But I'll tell you what my truck really needs.
83299	83919	Leadership.
84700	92389	Detroit hadn't felt any real pride since George Bush went to Japan and vomited on their auto executives.
92409	92950	Who's ready?
99197	101419	Y'all catch a Seinfeld show last night?
101669	102691	Yep.
102711	104033	Oh, hell, I missed it.
104053	110544	I'll tell you what, you see that part where Daniel George come in there and talk about tasting his own burp and cream or come sliding in.
110685	111987	I always do that.
112488	113470	I'll tell you what, man.
113930	115393	Them dang old New York boys.
116615	118378	Just to show about nothing.
147130	154059	Whatcha listenin' to, son?
154480	155782	I don't think you like it.
156042	156603	Well, why not?
157043	159166	I like this new generation of music.
161709	164313	Hello?
164333	166856	Mother of God, it's all toilet sounds.
167357	168599	Where did you record this?
168919	170020	I bought it at the mall.
170141	171923	It's a funny phone jerks.
172021	173222	Let me tell you, Bobby.
173382	175745	There's nothing funny about these sounds.
176265	179969	What that person on your tape has is a medical disorder.
180469	182211	Now, you get ready for the game, okay?
182931	183532	Yes, sir.
184533	185674	That boy ain't right.
188276	188857	Oh, God!
189417	191039	Luanne, I thought you went home.
191499	193662	No, Uncle Hank, Mom and Dad are still fighting.
194202	198706	Well, you're welcome to stay, but for God's sakes, girl, lock the door.
199147	201589	I've got a minor son living in this house.
204252	207638	So you ready to kick some Wildcat butt, Bobby?
208379	209681	Okay.
209701	211224	Nah, don't you worry son.
211284	212506	You just do your best.
212867	214269	Don't listen to her, Bobby.
214750	218356	If you want to win, you're gonna have to do better than your best.
218656	219959	How do I do that?
220379	221521	You gotta give 110%.
222303	225668	That's what'll give you that winning edge.
226029	229635	But what if the Wildcats give 110% too?
229835	231737	Well then you gotta try even harder.
231997	234339	How about if Bobby gave a hundred and twelve percent?
234760	236041	Uh, sure, that'd work.
236962	239364	Or maybe a hundred and thirteen.
240925	242507	Yeah, yeah, that's even better.
243107	246210	No, I don't know, thirteen is a very unlucky number.
246350	248593	Look, we're not talking about thirteen.
248713	254718	We're talking about a hundred and thirteen and even... Okay, give a hundred and twelve.
254798	255699	What's the difference?
256180	258762	Look, Bobby, just do your best, okay?
262117	262958	Swing, Bobby!
262978	263398	Swing!
263579	264079	Swing!
264520	267163	And y'all the dang ol' dick lone apt at ball one.
267383	268545	Good eye, honey, good eye.
270567	271928	Oh, for crying out loud.
274251	280158	Bobby, you can't make an omelet without breaking eggs and you can't get on base without taking a swing.
280659	282581	The pitcher could walk me, couldn't he?
283582	285524	Don't play lawyer ball, son.
285805	287787	Now you hit the next one out of the park.
299140	300762	Look at the batter, boy.
301143	302104	Watch the ball.
302464	302865	Huh?
