start	end	text
37308	45458	I'm in my office.
45999	49724	Peggy, I've got a situation here.
49744	54410	Oh, Hank, is it your back again?
54450	58034	Why won't you wear that weightlifting belt I got you for Christmas?
58375	60037	It's not a belt, it's a girdle.
60978	62640	Take off your shirt, I'll get the icy hot.
66923	73933	Ooh, ah, icy, icy, ah, hot, ah.
74433	74894	All right.
75114	76156	Okay.
76716	76796	Hey.
76816	78779	Peggy, not in front of the B.O.Y.
79280	81583	I need both of you to sign this permission slip.
81603	82084	Alrighty.
82524	83546	What's it for, son?
84267	85288	Contact football?
85809	86970	No, you're not old enough for that.
87571	89033	Ringworm test?
89165	89506	What?
90067	91128	Sexual education?
91870	92791	Where'd you get this?
93152	94314	I told you, at school.
94655	97480	Oh, I thought we didn't have to worry about this until ninth grade health class.
98081	98241	Uh-uh.
98622	102588	Principal wants to teach us a unit from some course they made up in Washington, D.C.
102849	103490	Washington?
104111	105153	Bobby, go to your room.
108379	109601	Well, what are we gonna do?
110001	111424	Here's the first thing I'm gonna do.
111504	112225	I'll tell you what.
113167	113788	There.
114308	120235	No need for Bobby to get all bothered up learning about sex when he can't do a damn thing about it anyway at his age.
120936	122218	And with his features.
123339	128025	Besides, it is not up to the United States government to be teaching Bobby the facts of life.
128586	129847	That's his parents' job.
130288	130748	I agree.
131229	136075	If anybody should teach our boy about that, it should be his parents.
136175	139319	Something like that should be taught in the home.
139720	139940	Uh-huh.
140180	141722	Where he lives.
141742	142723	Absolutely.
143124	144045	Yes, sir.
147856	149178	Well, you're the expert.
149699	153606	Substitute teacher of the year 1996, as I recall.
154007	156250	Oh, Hank, I'm also a decent woman.
158054	159757	I got my back out here, Peg.
163263	167690	Bobby?
169894	171096	Bobby, honey?
172932	175295	What do you know about sexual relations?
176116	176677	I don't know.
177317	178078	Nothing much.
179800	181803	I'm a little worried about being a slut.
182303	182544	Uh-huh.
183925	192035	Well, Bobby, your father and I decided that as your parents, that you and I should have a little talk on the subject.
193597	199304	You have noticed, I am sure, that there are some pretty big differences between boys and girls.
201407	202568	I'm sure you know that.
203746	208776	I mean, physically, boys are, they're different.
208796	211581	They have something that girls do not have.
212483	212924	Yeah.
213866	216731	You know, some thing.
217914	219156	You mean a penis?
225717	227600	I didn't take sex ed in school.
228181	230665	Come on, Boomhauer, if you're gonna prune, prune.
231086	234833	The army taught me everything, and in four different languages too.
235113	237277	Want to know how to get a bar girl in the Philippines?
237537	244910	The point is, there's no way my son is learning the how-tos of romance from some bureaucrat regulatory handbook.
244930	246713	Sumay Ho.
246693	248275	or something like that.
248295	251338	And Dale, I'd say the same applies to your Joseph.
251358	253621	I'd tear that permission slip up if I were you.
253961	255423	I'll do that and then some.
255743	258386	This sex head stuff goes higher than the schools.
258787	264594	It's that same old club of Rone Zero population bull dink that the UN's been trying for years.
264774	270220	I'll tell you what, man, it branch-fishing, it's going down, it's going to get y'all with your heads up.
271297	274643	They want to whittle us down so we can't keep a standing army.
275164	277648	That's when the Chinese will come marching in.
278410	281816	All I'm saying is keep the government out of the bedroom business.
282417	285423	Teaching my boy the facts of life is my job.
285763	285883	Damn.
285984	287426	You got that right.
288328	289570	Hank, I couldn't get the words out.
290231	293457	Oh gee, you didn't send her into a man's job, did you?
293572	297497	Uh, well, uh... Maybe you should let Boom Howard teach him what he knows.
297698	300902	Yeah, man, I'll tell you what, he'd tell him about him dang old condom dispenser with them.
301022	306930	He'd put a little 50 cents in there and he'd try to hit that corner, turn his bang on that thing and just talk about her needs.
308052	309354	Oh, no, that's all right.
310295	311256	I guess I'll do it.
311897	316744	My daddy told me the facts of life when I was Bobby's age and I turned out okay.
319492	320935	EHA!
321275	322417	Hey, what you crying for, boy?
322758	323579	It's a good show.
323699	325142	This was a damn good show.
325523	325903	Yeah.
326845	331714	That's also how he taught me about paying taxes.
331734	334458	Well, there used to be a dairy farm out here somewhere.
334478	335781	Oh, there we go.
339688	341411	Gracie, this is Mr. Hill.
342152	344436	Brought his son over to learn the facts of life.
344602	346405	Well, he sure came to the right place.
347046	348909	We call this machine the Matchmaker 500.
349369	358964	Now Bobby, you're coming to a time in your life when you're going to start to have tender feelings for a girl.
359926	364433	You're going to need to know what those feelings mean and what to do about them.
369796	372218	Where's the other half of that dang permission slip?
372479	374281	I'm sure they will do a good job at school.
374661	376423	The health teacher is a trained professional.
376763	377103	Uh-huh.
377584	378124	Keep digging.
381428	385292	Hey Hank, I wouldn't sweat it anymore about that sex ed stuff.
385312	385892	What do you mean?
386973	391238	All you gotta know is I took care of it with one little phone call.
395022	396343	Hey, pig leg.
397015	398216	That was Bobby's principal.
398817	402560	Some right-wing maniac just called the health teacher with a death threat and she quit.
402941	406364	Oh, well, I'm sure it was just some harmless nutcase.
406645	408226	Damn, thank you, God.
408246	409607	Jeez!
409627	416214	Hey, on the bright side, since there's no one to teach that sex ed course, we can put all this ugliness back in the closet.
416594	418136	Oh, no, Hank, they found someone.
418716	421019	They found the substitute teacher of the year.
422000	422640	Uh, 1995?
422660	426364	1996.
429398	453786	oh my oh lord oh for goodness sake this beauty school homework is hard Aunt Peggy Aunt Peggy huh oh I'm sorry Lou Ann I was not paying attention listen to this chapter title the 14 stages of arousal and then you turn the page and
454019	454920	Oh my goodness.
455401	457143	Is that Sea Everett Coop?
457163	460667	That must be an old book, because now there's 18 stages.
461088	461468	Oh my.
462049	464913	How am I going to say these words out loud in front of a class?
465253	465774	Let me see.
466855	472262	Self-exploration is a perfectly natural exercise throughout the pubescence.
472282	473344	What's so hard about that?
473724	474105	Luanne?
474946	478490	Honey, tell me, what is it like to live without shame of any kind?
479231	480172	Is it a good feeling?
481934	482355	Yeah.
483584	485947	Well, I guess I am a little jealous.
486267	488069	Things were very different when I was a girl.
488770	491653	Honey, you're at that special time of life.
492353	495076	The time when a little girl becomes a woman.
495837	498039	And you start getting a monthly visitor.
499041	499281	Who?
499881	500462	Uncle Joe?
502404	504266	My mother gave me this and I'm passing it on to you.
506268	507910	The loveliness of woman.
509732	512595	There's nothing in here but pictures of flowers.
