start	end	text
2444	8093	Hey, me and Dale are taking Bobby's troop up by the lake for order of the straight arrow this weekend.
8133	10436	Y'all want to come for old time's sake?
10456	11538	Well, of course I'll go.
11558	14863	I'll never miss an order of the straight arrow.
15745	16706	Not since ours.
17107	19430	Yeah, ours was something special.
20492	21754	Now for the final test.
22355	23296	The snipe hunt.
23677	24598	Not gonna sugarcoat it.
24999	27523	Some of you ain't coming back.
27858	32064	Those who survive will be honored members of the Order of the Straight Era.
32084	33986	Those who don't, will be dead.
35248	36530	Question.
36550	37110	Are you ready?
37371	38492	Yeah!
41597	45161	If you want the test of silence, useless, give me a silent stick.
48105	51430	For the rest of your long, miserable life, you will carry the scar of failure.
51850	53072	Now go give me a beer.
55533	59240	And you boys get out there and bag some snipe!
63228	63769	Snipe!
63989	64771	Shut up, Dale.
64991	65913	There is no snipe.
65953	67496	I heard my dad talking to your dad.
67757	68959	So what are we doing out here?
69440	71384	We're going to get snackered, I tell you what, boy, man.
71424	77355	I want to get all messed up and just pollute our minds out of three sheets of dang old wind, man.
80491	87763	I grew up I'm gonna drink this stuff every day just like my dad and fly jets and maybe even be an astronaut.
87984	91550	I'm gonna live in London and be a rich millionaire and have people killed.
93092	97660	I'm gonna sell propane and propane accessories if my grades are good enough.
100945	102788	Oh kids and their crazy dreams.
104652	106735	I'm so depressed I can't even blink.
138035	142701	Well, we're gonna make some men out of those twelve-year-old boys tomorrow, I tell you what.
143002	145224	Well, we still get to play practical jokes, right?
145685	147007	They're not jokes, Bill.
147287	148529	They're painful lessons.
148969	151713	I thank my father for all the tricks he played on me.
152234	155037	He taught me the most wonderful lesson a child can learn.
155718	157080	Never trust nobody.
158682	161646	That's how I know Bob Dole's faking that dead arm.
161761	165746	I tell you what you do, man, I don't even know how to handle a water trick that's gonna work every time, man.
165766	172514	You just put it in a water like that, and it don't, it's, they spend a whole dadgum day like that cleaning up that dang old pee-pee.
172534	174376	Yeah, but those are getting tired.
174756	176078	We need some new material.
176578	179522	Dad, can me and Bobby bring a life preservers?
179962	183246	If you want to be sissies... He said yes!
183648	187095	Hey, Dale, uh, there's your wife's, uh... Healer.
187435	190802	Yeah, John Redcorn, let's get some funny Indian stuff to do.
191143	192626	Hey, John Redcorn!
193087	195631	Hank, Dale, Bill, Whomhower.
196072	202645	John Redcorn, we've got this order of the straight arrow retreat tomorrow, and I was wondering... I'd be honored to look after your wife.
205932	206112	Oh!
206581	208445	Well, gee, thanks.
208465	214039	But what I was really wondering is if you had some good Indian stuff for the ceremony around the campfire.
214921	219291	Hmm, our rituals are considered sacred and are passed down only in the nation.
219311	220674	Oh well, that don't bother us.
220895	223020	Hell no, we'll take a sacred one.
223000	226088	There is a very ancient ceremony I learned from my grandfather.
226710	231563	We call upon the sacred Wimatenya, and we ask him to breathe life into our spirit bag.
231964	236716	See, spirit bags, Wimatenya, funny looking headband.
237278	239203	Oh, the boys are going to eat this stuff up.
239960	241942	The spirit bag is very sacred.
242343	243484	You should not make light.
245447	247269	I like how you say everything's sacred.
247329	248250	That's funny too.
248751	249752	Let's do that, Hank.
250192	253056	I got a bunch of ladies tennis socks we can use for spirit bags.
254037	255058	I got them in a divorce.
255699	257741	Now, every time she plays, she gets blisters.
258662	260264	It's been six years, Bill.
260304	263368	Don't you think she'd have bought some new socks by now?
263770	266436	I want to get that straight arrow patch so bad.
266476	270565	I'm going to put it right here next to my sewing patch.
270966	272709	It's supposed to be hard.
273291	277560	I heard they make you walk on hot coals and then you have to eat them.
278462	278522	Ew!
279083	280446	After you walk on them?
281928	284932	Hell, that's hot!
284952	286655	Hell, you're not kidding!
286975	287496	Fuck!
287516	288217	Hardone, mate!
288257	290040	Did I just hear what I almost heard?
290060	293985	I was gonna say... Fuuuugget about it!
294506	297571	Son, Peggy Hill knows half a swear word when she hears one.
298011	298752	Can I go to sleep?
300194	301717	You had the coolest mom.
302458	304360	She smells like Miracle Whip.
306123	306644	Hey, guys.
307245	308106	Hey, Eustace.
308126	309047	Hey, Eustace.
311371	311631	Hey, Eustace.
312556	313237	All right, Randy.
313878	316041	Remember, the purpose of this weekend is to have fun.
316882	319987	Daddy loves you whether you get your straight arrow patch or not.
321088	321769	What a load.
322210	326135	Can you imagine how I'd have turned out if my dad had loved me no matter what?
326155	327778	Thanks for the bus fare, Aunt Peggy.
328058	328819	Don't be silly, honey.
328839	330722	It is very important that you be there for your mama.
331183	331984	This is her big day.
332224	335429	Well, actually, her big day is a sentencing.
335489	336711	This is just the arrangement.
337191	337992	Here's a fun saver.
338052	339154	Take lots of pictures.
345057	346138	There we go.
346158	346899	Have a good time.
347219	348080	Here's a fun saver.
348220	349181	Take lots of pictures.
349521	353605	Gosh, Pig, if I didn't know better, I'd think you were anxious to see us go.
354206	356428	Well, that is not true.
356908	358490	You and Bobby are my whole life.
358890	359811	Come on, kids!
359831	360332	Let's go!
360832	361913	Everybody in the car!
361933	362794	I'm the light now!
363074	363975	Hold on, boys.
364516	372263	Before we go, we have to ask the Great Spirit, uh, Wumatanya, to watch over us on this trip.
